statement_date,value_date,bank_txn_id,txn_type,debit_credit,amount,stated_running_balance,reference_number,description,check_number,counterparty,branch,currency
2024-05-01,2024-05-01,BNK-70000,opening,CR,2450188.42,2450188.42,OPEN-MAY,Opening collected balance,,First National — 4481,Cincinnati OH,USD
2024-05-02,2024-05-02,BNK-70001,deposit,CR,128440.15,2578628.57,DEP-MAY-1001,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-03,2024-05-03,BNK-70002,deposit,CR,131002.80,2709631.37,DEP-MAY-1002,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-04,2024-05-04,BNK-70003,deposit,CR,119880.40,2829511.77,DEP-MAY-1003,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-05,2024-05-05,BNK-70004,deposit,CR,142110.22,2971621.99,DEP-MAY-1004,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-06,2024-05-06,BNK-70005,deposit,CR,138904.11,3110526.10,DEP-MAY-1005,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-07,2024-05-07,BNK-70006,deposit,CR,125550.00,3236076.10,DEP-MAY-1006,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-08,2024-05-08,BNK-70007,deposit,CR,133280.75,3369356.85,DEP-MAY-1007,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-09,2024-05-09,BNK-70008,deposit,CR,140002.18,3509359.03,DEP-MAY-1008,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-10,2024-05-10,BNK-70009,deposit,CR,129440.90,3638799.93,DEP-MAY-1009,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-11,2024-05-11,BNK-70010,deposit,CR,136770.05,3775569.98,DEP-MAY-1010,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-12,2024-05-12,BNK-70011,deposit,CR,121008.40,3896578.38,DEP-MAY-1011,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
