gr_number,gr_date,po_number,po_line_id,vendor_name,item_sku,qty_received,uom,unit_price,received_amount,warehouse,packing_slip,receiver,inspection_status
GR-88021,2024-04-14,PO-24018,10,Dell Computers,SRV-7400,4,EA,4820.00,19280.00,Plant-OH-WH1,PS-88021,K. Brooks,Accepted
GR-88022,2024-04-15,PO-24018,20,Dell Computers,WAR-3YR,4,EA,610.00,2440.00,Plant-OH-WH1,PS-88022,P. Singh,Accepted
GR-88023,2024-04-16,PO-24022,10,SKF USA Inc,6205-2RS,180,EA,18.40,3312.00,Plant-IN-WH1,PS-88023,L. Nguyen,Accepted
GR-88024,2024-04-17,PO-24022,20,SKF USA Inc,6310-2Z,80,EA,42.15,3372.00,Plant-IN-WH1,PS-88024,K. Brooks,Accepted
GR-88025,2024-04-18,PO-24031,10,Bosch Rexroth Corp,4WE6,12,EA,318.50,3822.00,Plant-OH-WH1,PS-88025,P. Singh,Accepted
GR-88026,2024-04-19,PO-24031,20,Bosch Rexroth Corp,A10VSO,2,EA,2140.00,4280.00,Plant-OH-WH1,PS-88026,L. Nguyen,Accepted
GR-88027,2024-04-20,PO-24040,10,Fastenal Company,SHCS-M8,5000,EA,0.18,900.00,Plant-TX-WH1,PS-88027,K. Brooks,Accepted
GR-88028,2024-04-21,PO-24040,20,Fastenal Company,NUT-M8,5000,EA,0.07,350.00,Plant-TX-WH1,PS-88028,P. Singh,Accepted
GR-88029,2024-04-22,PO-24044,10,Grainger Inc,PPE-19,18,EA,214.00,3852.00,Plant-TX-WH1,PS-88029,L. Nguyen,Accepted
GR-88030,2024-04-23,PO-24051,10,Mitsubishi Electric America,FR-A840,6,EA,1688.00,10128.00,Plant-OH-WH1,PS-88030,K. Brooks,Accepted
GR-88031,2024-04-24,PO-24051,20,Mitsubishi Electric America,FR-CAB,6,EA,96.40,578.40,Plant-OH-WH1,PS-88031,P. Singh,Accepted
GR-88032,2024-04-25,PO-24058,10,Siemens Industry Inc,6ES7-315,3,EA,2895.00,8685.00,Plant-IN-WH1,PS-88032,L. Nguyen,Accepted
GR-88033,2024-04-14,PO-24058,20,Siemens Industry Inc,6ES7-322,8,EA,412.00,3296.00,Plant-IN-WH1,PS-88033,K. Brooks,Accepted
GR-88034,2024-04-16,PO-24067,10,Dell Inc,MON-27,10,EA,428.00,4280.00,Plant-TX-WH1,PS-88034,P. Singh,Accepted
GR-88035,2024-04-17,PO-24070,10,SKF USA Inc,SNL-520,16,EA,126.80,2028.80,Plant-IN-WH1,PS-88035,L. Nguyen,Accepted
GR-88036,2024-04-18,PO-24073,10,Fastenal Company,TAP-M10,40,EA,14.25,570.00,Plant-TX-WH1,PS-88036,K. Brooks,Accepted
GR-88037,2024-04-19,PO-24077,10,Grainger Inc,GLV-NIT,60,BX,22.40,1344.00,Plant-OH-WH1,PS-88037,P. Singh,Accepted
GR-88038,2024-04-20,PO-24081,10,Mitsubishi Electric US,GT-200,4,EA,980.00,3920.00,Plant-OH-WH1,PS-88038,L. Nguyen,Accepted
GR-88039,2024-04-21,PO-24088,10,Siemens Industry Inc,3RT2,24,EA,68.90,1653.60,Plant-IN-WH1,PS-88039,K. Brooks,Accepted
GR-88040,2024-04-22,PO-24091,10,Bosch Rexroth Corp,HOSE-2S,20,EA,54.00,1080.00,Plant-TX-WH1,PS-88040,P. Singh,Accepted
GR-88041,2024-04-23,PO-24095,10,SKF USA Inc,OIL-32,8,DR,312.00,2496.00,Plant-OH-WH1,PS-88041,L. Nguyen,Accepted
GR-88042,2024-04-24,PO-24102,10,Dell Computers,NB-5G,2,EA,1240.00,2480.00,Plant-OH-WH1,PS-88042,K. Brooks,Accepted
GR-88043,2024-04-25,PO-24108,10,Grainger Inc,EAR-NBR,40,BX,9.85,394.00,Plant-TX-WH1,PS-88043,P. Singh,Accepted
GR-88044,2024-04-14,PO-24114,10,Fastenal Company,BIT-1/2,80,EA,6.40,512.00,Plant-IN-WH1,PS-88044,L. Nguyen,Accepted
GR-88045,2024-04-15,PO-24120,10,Siemens Industry Inc,ET200SP,5,EA,534.00,2670.00,Plant-OH-WH1,PS-88045,K. Brooks,Accepted
